source,target,rel_type,updated_at,confidence,generated_by
RETURN-38e401d2,home_appliance,APPLIES_TO,2026-08-12,1.0,rule
RETURN-38e401d2,apparel,APPLIES_TO,2026-08-12,1.0,rule
RETURN-38e401d2,cordless_vacuum,APPLIES_TO,2026-08-12,1.0,rule
RETURN-38e401d2,digital,APPLIES_TO,2026-08-12,1.0,rule
RETURN-38e401d2,digital_power,APPLIES_TO,2026-08-12,1.0,rule
RETURN-38e401d2,humidifier,APPLIES_TO,2026-08-12,1.0,rule
RETURN-38e401d2,digital_audio,APPLIES_TO,2026-08-12,1.0,rule
RETURN-38e401d2,air_fryer,APPLIES_TO,2026-08-12,1.0,rule
RETURN-38e401d2,air_circulation_fan,APPLIES_TO,2026-08-12,1.0,rule
RETURN-38e401d2,electric_kettle,APPLIES_TO,2026-08-12,1.0,rule
PRICE-cf259e1c,home_appliance,APPLIES_TO,2026-08-12,1.0,rule
PRICE-cf259e1c,apparel,APPLIES_TO,2026-08-12,1.0,rule
PRICE-cf259e1c,cordless_vacuum,APPLIES_TO,2026-08-12,1.0,rule
PRICE-cf259e1c,digital,APPLIES_TO,2026-08-12,1.0,rule
PRICE-cf259e1c,digital_power,APPLIES_TO,2026-08-12,1.0,rule
PRICE-cf259e1c,humidifier,APPLIES_TO,2026-08-12,1.0,rule
PRICE-cf259e1c,digital_audio,APPLIES_TO,2026-08-12,1.0,rule
PRICE-cf259e1c,air_fryer,APPLIES_TO,2026-08-12,1.0,rule
PRICE-cf259e1c,air_circulation_fan,APPLIES_TO,2026-08-12,1.0,rule
PRICE-cf259e1c,electric_kettle,APPLIES_TO,2026-08-12,1.0,rule
WARR-1a256956,home_appliance,APPLIES_TO,2026-08-12,1.0,rule
RETURN-9d637afd,digital,APPLIES_TO,2026-08-12,1.0,rule
RETURN-2d243e76,apparel,APPLIES_TO,2026-08-12,1.0,rule
LOGISTICS-70a98f4b,home_appliance,APPLIES_TO,2026-08-12,1.0,rule
LOGISTICS-70a98f4b,apparel,APPLIES_TO,2026-08-12,1.0,rule
LOGISTICS-70a98f4b,cordless_vacuum,APPLIES_TO,2026-08-12,1.0,rule
LOGISTICS-70a98f4b,digital,APPLIES_TO,2026-08-12,1.0,rule
LOGISTICS-70a98f4b,digital_power,APPLIES_TO,2026-08-12,1.0,rule
LOGISTICS-70a98f4b,humidifier,APPLIES_TO,2026-08-12,1.0,rule
LOGISTICS-70a98f4b,digital_audio,APPLIES_TO,2026-08-12,1.0,rule
LOGISTICS-70a98f4b,air_fryer,APPLIES_TO,2026-08-12,1.0,rule
LOGISTICS-70a98f4b,air_circulation_fan,APPLIES_TO,2026-08-12,1.0,rule
LOGISTICS-70a98f4b,electric_kettle,APPLIES_TO,2026-08-12,1.0,rule
WARR-b17b433a,digital,APPLIES_TO,2026-08-12,1.0,rule
