spec_key,attr_key,attr_value,level,owner_id,updated_at
QC-SPU-AF5|brand,brand,晴川,SPU,QC-SPU-AF5,2026-08-12
QC-SPU-AF5|model,model,AF5,SPU,QC-SPU-AF5,2026-08-12
QC-SPU-AF5|warranty_months,warranty_months,12,SPU,QC-SPU-AF5,2026-08-12
QC-AF5-WHITE|capacity_l,capacity_l,5,SKU,QC-AF5-WHITE,2026-08-12
QC-AF5-WHITE|color,color,云白,SKU,QC-AF5-WHITE,2026-08-12
QC-AF5-GREEN|capacity_l,capacity_l,5,SKU,QC-AF5-GREEN,2026-08-12
QC-AF5-GREEN|color,color,松绿,SKU,QC-AF5-GREEN,2026-08-12
QC-SPU-VC1|brand,brand,晴川,SPU,QC-SPU-VC1,2026-08-12
QC-SPU-VC1|model,model,VC-A1,SPU,QC-SPU-VC1,2026-08-12
QC-SPU-VC1|warranty_months,warranty_months,24,SPU,QC-SPU-VC1,2026-08-12
QC-VC-A1|runtime_min,runtime_min,45,SKU,QC-VC-A1,2026-08-12
QC-SPU-HM3|brand,brand,晴川,SPU,QC-SPU-HM3,2026-08-12
QC-SPU-HM3|model,model,HM-3L,SPU,QC-SPU-HM3,2026-08-12
QC-SPU-HM3|warranty_months,warranty_months,12,SPU,QC-SPU-HM3,2026-08-12
QC-HM-3L|capacity_l,capacity_l,3,SKU,QC-HM-3L,2026-08-12
QC-SPU-KT17|brand,brand,晴川,SPU,QC-SPU-KT17,2026-08-12
QC-SPU-KT17|model,model,KT-17,SPU,QC-SPU-KT17,2026-08-12
QC-SPU-KT17|warranty_months,warranty_months,12,SPU,QC-SPU-KT17,2026-08-12
QC-KT-17|capacity_l,capacity_l,1.7,SKU,QC-KT-17,2026-08-12
QC-SPU-FN1|brand,brand,晴川,SPU,QC-SPU-FN1,2026-08-12
QC-SPU-FN1|model,model,FN-D1,SPU,QC-SPU-FN1,2026-08-12
QC-SPU-FN1|warranty_months,warranty_months,24,SPU,QC-SPU-FN1,2026-08-12
QC-FN-D1|filter,filter,H13,SKU,QC-FN-D1,2026-08-12
X-SPU-M1|brand,brand,星脉,SPU,X-SPU-M1,2026-08-12
X-SPU-M1|model,model,X-M1,SPU,X-SPU-M1,2026-08-12
X-SPU-M1|warranty_months,warranty_months,12,SPU,X-SPU-M1,2026-08-12
X-M1-WHITE|color,color,云白,SKU,X-M1-WHITE,2026-08-12
X-M1-WHITE|battery_mah,battery_mah,350,SKU,X-M1-WHITE,2026-08-12
X-M1-BLACK|color,color,曜石黑,SKU,X-M1-BLACK,2026-08-12
X-M1-BLACK|battery_mah,battery_mah,350,SKU,X-M1-BLACK,2026-08-12
X-SPU-P2|brand,brand,星脉,SPU,X-SPU-P2,2026-08-12
X-SPU-P2|model,model,X-P2,SPU,X-SPU-P2,2026-08-12
X-SPU-P2|warranty_months,warranty_months,12,SPU,X-SPU-P2,2026-08-12
X-P2-BLACK|color,color,黑色,SKU,X-P2-BLACK,2026-08-12
X-P2-BLACK|storage_gb,storage_gb,0,SKU,X-P2-BLACK,2026-08-12
X-P2-BLACK|battery_mah,battery_mah,10000,SKU,X-P2-BLACK,2026-08-12
Y-SPU-D01|brand,brand,云织,SPU,Y-SPU-D01,2026-08-12
Y-SPU-D01|model,model,Y-D01,SPU,Y-SPU-D01,2026-08-12
Y-SPU-D01|warranty_months,warranty_months,0,SPU,Y-SPU-D01,2026-08-12
Y-D01-S|color,color,黑色,SKU,Y-D01-S,2026-08-12
Y-D01-S|size,size,S,SKU,Y-D01-S,2026-08-12
Y-D01-S|material,material,90%白鸭绒,SKU,Y-D01-S,2026-08-12
Y-D01-S|season,season,冬季,SKU,Y-D01-S,2026-08-12
Y-D01-M|color,color,黑色,SKU,Y-D01-M,2026-08-12
Y-D01-M|size,size,M,SKU,Y-D01-M,2026-08-12
Y-D01-M|material,material,90%白鸭绒,SKU,Y-D01-M,2026-08-12
Y-D01-M|season,season,冬季,SKU,Y-D01-M,2026-08-12
Y-D01-L|color,color,黑色,SKU,Y-D01-L,2026-08-12
Y-D01-L|size,size,L,SKU,Y-D01-L,2026-08-12
Y-D01-L|material,material,90%白鸭绒,SKU,Y-D01-L,2026-08-12
Y-D01-L|season,season,冬季,SKU,Y-D01-L,2026-08-12
SPU-AFR-01|brand,brand,格兰仕,SPU,SPU-AFR-01,2026-08-12
SPU-AFR-01|model,model,Galanz KZ40-108,SPU,SPU-AFR-01,2026-08-12
REAL-AFR-01|material,material,搪瓷,SKU,REAL-AFR-01,2026-08-12
REAL-AFR-01|control,control,智能操控,SKU,REAL-AFR-01,2026-08-12
REAL-AFR-01|capacity_l,capacity_l,1-2人,SKU,REAL-AFR-01,2026-08-12
SPU-AFR-02|brand,brand,美的,SPU,SPU-AFR-02,2026-08-12
SPU-AFR-02|model,model,Midea KZ25E101,SPU,SPU-AFR-02,2026-08-12
REAL-AFR-02|material,material,搪瓷,SKU,REAL-AFR-02,2026-08-12
REAL-AFR-02|control,control,智能操控,SKU,REAL-AFR-02,2026-08-12
REAL-AFR-02|capacity_l,capacity_l,1-2人,SKU,REAL-AFR-02,2026-08-12
SPU-VAC-01|brand,brand,戴森,SPU,SPU-VAC-01,2026-08-12
SPU-VAC-01|model,model,Dyson V15 Detect Fluffy,SPU,SPU-VAC-01,2026-08-12
