script_id,category,intent,keywords,canonical_answer,risk_level,layer,source,updated_at
SCRIPT-001,接待,greeting,你好 在吗 客服,您好，我是店铺智能客服。您可以告诉我想了解的商品、订单或售后问题；涉及退款、赔付、改价、改地址等操作时，我会为您转人工确认。,low,platform,builtin:ecommerce-sop-v1,2026-08-12
SCRIPT-002,商品,product,商品 参数 功能 详情,我可以依据当前商品详情说明功能和参数。请发商品名称、链接或规格；未出现在商品详情中的能力，我不会自行承诺。,low,platform,builtin:ecommerce-sop-v1,2026-08-12
SCRIPT-003,商品,product,材质 面料 成分,材质请以当前商品详情页的成分或参数标注为准。不同颜色、批次或规格可能不同，请提供具体 SKU 后再核对。,low,platform,builtin:ecommerce-sop-v1,2026-08-12
SCRIPT-004,商品,product,尺寸 尺码 大小 测量,请参考商品页对应规格的尺寸表，并结合自己的实际测量值选择。不同版型可能有差异；拿不准时请提供身高、体重或使用尺寸，由人工进一步建议。,low,platform,builtin:ecommerce-sop-v1,2026-08-12
SCRIPT-005,商品,product,颜色 色差 图片 实物,商品图片会尽量还原实物，但受拍摄光线和屏幕显示影响可能存在轻微色差。请以收到的实物和商品页说明为准。,low,platform,builtin:ecommerce-sop-v1,2026-08-12
SCRIPT-006,商品,product,兼容 适配 型号,是否适配需要核对商品支持列表与您的具体品牌、型号和版本。请提供完整型号；未列明的设备不能直接承诺兼容。,low,platform,builtin:ecommerce-sop-v1,2026-08-12
SCRIPT-007,商品,product,正品 防伪 授权,商品来源与正品保障以店铺资质、商品页承诺和可提供的凭证为准。如需核验防伪方式或授权材料，我可以转人工处理。,low,platform,builtin:ecommerce-sop-v1,2026-08-12
SCRIPT-008,商品,product,保质期 生产日期 有效期,生产日期和保质期以商品页说明及实际包装标识为准。仓库批次会流动，无法在未核实库存批次时承诺某个具体日期。,low,platform,builtin:ecommerce-sop-v1,2026-08-12
SCRIPT-009,商品,product,使用 清洗 保养,使用、清洗和保养请优先遵循商品说明书、洗涤标或包装标识。若说明缺失，请提供商品名称和具体问题后再核对。,low,platform,builtin:ecommerce-sop-v1,2026-08-12
SCRIPT-010,商品,product,质保 保修 维修,质保范围和期限以商品页、保修卡及店铺售后政策为准。人为损坏、耗材或非正常使用是否覆盖，需要人工依据凭证判定。,low,platform,builtin:ecommerce-sop-v1,2026-08-12
SCRIPT-011,库存,inventory,库存 现货 有货,页面可下单通常表示当前系统有可售库存，但大促或并发下单时库存可能变化。最终以订单提交和仓库复核结果为准。,low,platform,builtin:ecommerce-sop-v1,2026-08-12
SCRIPT-012,库存,inventory,补货 到货 缺货,补货时间需以采购和入库结果为准，未确认前不能承诺具体日期。您可以关注商品页面，或留下需要的规格由人工登记。,low,platform,builtin:ecommerce-sop-v1,2026-08-12
SCRIPT-013,价格,price_promo,价格 到手价 标价,实际支付金额由商品价、店铺优惠、平台优惠和账号可用券共同计算，请以结算页实时展示为准。客服不能绕过平台修改成交价。,low,platform,builtin:ecommerce-sop-v1,2026-08-12
SCRIPT-014,活动,price_promo,活动 优惠 促销 时间,活动范围、门槛和时间以当前活动页及结算页规则为准。过期活动、截图或历史价格不能作为当前优惠承诺。,low,platform,builtin:ecommerce-sop-v1,2026-08-12
