rule_code,rule_title,authority,theme,content_summary,source,source_url,captured_at,updated_at
RULE-TAOBAO-7DAYS,淘宝七天无理由退货规范,淘宝平台,七天无理由退货,支持七天无理由退货的商品，买家自签收起7天内可退货；需商品完好。赠品遗失/破损不影响退货（折价处理）；卖家约定不支持七天无理由无效。买家承担退回邮费（包邮商品）；滥用会员权利运费全由买家承担。,network,jianghu.taobao.com/detail/47301_58660388,2026-08-03,2026-08-12
RULE-NATIONAL-3BAO,部分商品修理更换退货责任规定（三包）,国家经贸委/市场监管总局,国家三包规定,三包有效期自开具发票之日起计算。产品自售出7日内发生性能故障，可退货/换货/修理，按发票价一次退清货款；15日内可换货。目录中指标是履行三包的最基本要求。三包期内消费者凭发票及三包凭证办理修理、换货、退货。,network,samr.gov.cn/zw/zfxxgk/zc/xzgfxwj/art/2019/art_f943e66de125437d92df701e1654c47c.html,2026-08-03,2026-08-12
RULE-CONSUMER-25,消费者权益保护法/七日无理由退货,全国12315平台,消费者权益保护,经营者采用网络、电视、电话、邮购等方式销售商品，消费者有权自收到商品之日起7日内退货，无需说明理由。不适用：消费者定作的、鲜活易腐的、在线下载的数字化商品、交付的报纸期刊等。退货商品应当完好，退回运费由消费者承担（另有约定除外）。,network,www.12315.cn/knowledge/knowledgeView?zlcode=956831a206d548d8a72934a592414e4b,2026-08-03,2026-08-12
RULE-PRICE-PROTECT,淘宝价格保护规则,淘宝平台,价格保护,保价按商品类型与活动场景细分：日常7天（确认收货起）、大促15天（活动结束后起）、3C/奢侈品部分品牌30天。需未拆封、未使用；不包含限时秒杀、优惠券降价、拼团价、会员专属价。,network,diantuoyi.com/article/16500.html,2026-08-03,2026-08-12
RULE-SHIPPING-TIMELINESS,电商平台发货时效与延迟发货规则,苏宁易购,发货时效,延迟发货：消费者付款后24小时内未上传运单号，或48小时内查不到揽件跟踪信息。店铺周度延迟发货率≤5%每单扣1分；＞5%每单扣1分周不超8分；≥50%且≥50单视为情节严重扣12分。赔付：订购延迟发货补贴商家自动赔付每单5元无敌券；未订购按支付金额5%赔付（500-5000云钻）。,network,rule.suning.com/ruleInfo/ruleInfoDetail/GZ100004233.htm,2026-08-03,2026-08-12
RULE-CCC-DIRECTORY,强制性产品认证（3C）目录,市场监管总局,3C认证合规,列入目录内的商品未获CCC认证证书和未加施认证标志的不得出厂、进口、销售。家电类含：真空吸尘器、电风扇、空调器、液体加热器、冷热饮水机、电饭锅等；电子产品含：电源适配器、便携式计算机、移动用户终端等。,network,danotest.com/3c/31734.html,2026-08-03,2026-08-12
RULE-SMALL-APPLIANCE-WARRANTY,小家电保修政策,爱普电器,小家电售后,吸尘器、电水壶、蒸气清洁机、加湿器、挂烫机、电炸锅等整机保修1年；吸尘器电机等主要零部件保修3年。消耗品、易损件、附件（尘袋、过滤片、HEPA）不保修。质保判定：有效三包卡+发票优先；无卡则以生产日期+15天为质保起始日。,network,m.zjtcn.com/news/51290604.html,2026-08-03,2026-08-12
RULE-DIGITAL-RETURN,手机数码类商品退换货细则,当当,数码品类售后,数码类自实际收到商品之日起7天内可退货、15天可换货。含授权/激活信息的商品一旦产生授权或激活程序，不支持7天无理由退货；商品包装拆封影响二次销售不支持无理由退换。存储类商品不提供数据导出。,network,help.dangdang.com/details/page95,2026-08-03,2026-08-12
RULE-APPAREL-RETURN,服饰鞋帽眼镜类商品退换货细则,当当,服饰品类售后,服饰类自收到商品之日起7天内可退货、15天可换货。出于安全卫生考虑，内衣裤、袜子、泳衣、定制眼镜不予退换（质量问题除外）；吊牌、包装及附件标签破损或丢失不予退换。个人原因损坏（修改尺寸、洗涤等）不予退货。,network,help.dangdang.com/details/page103,2026-08-03,2026-08-12
RULE-INVOICE-ISSUE,电商发票开具规范,国家税务总局,发票开具,销售商品提供劳务应向购买方开具发票。网络购物中，商家应依法为消费者开具发票（含电子发票），不得以任何理由拒开。发票开具时限：发生经营业务确认营业收入时开具。消费者索要发票的，经营者必须出具，不得加收费用。电子发票与纸质发票具有同等法律效力。,network,www.chinatax.gov.cn,2026-08-05,2026-08-12
RULE-PRICE-LABELING,明码标价和禁止价格欺诈规定,市场监管总局,价格合规,经营者销售商品应当明码标价，不得在标价之外加价出售商品，不得收取任何未予标明的费用。禁止下列价格欺诈行为：虚假优惠折价（虚构原价）、谎称降价或即将提价、不履行或者不完全履行价格承诺、使用欺骗性或者误导性的文字图片标价、以低价招徕顾客以高价进行结算。,network,www.samr.gov.cn,2026-08-05,2026-08-12
