faq_id,category,intent,question,answer,risk_level,layer,ref_script_id,sku_id,source,updated_at
FAQ-SCRIPT-001,接待,greeting,你好,您好，我是店铺智能客服。您可以告诉我想了解的商品、订单或售后问题；涉及退款、赔付、改价、改地址等操作时，我会为您转人工确认。,low,platform,SCRIPT-001,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-002,商品,product,这个商品有什么功能,我可以依据当前商品详情说明功能和参数。请发商品名称、链接或规格；未出现在商品详情中的能力，我不会自行承诺。,low,platform,SCRIPT-002,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-003,商品,product,这是什么材质,材质请以当前商品详情页的成分或参数标注为准。不同颜色、批次或规格可能不同，请提供具体 SKU 后再核对。,low,platform,SCRIPT-003,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-004,商品,product,尺码怎么选,请参考商品页对应规格的尺寸表，并结合自己的实际测量值选择。不同版型可能有差异；拿不准时请提供身高、体重或使用尺寸，由人工进一步建议。,low,platform,SCRIPT-004,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-005,商品,product,实物有色差吗,商品图片会尽量还原实物，但受拍摄光线和屏幕显示影响可能存在轻微色差。请以收到的实物和商品页说明为准。,low,platform,SCRIPT-005,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-006,商品,product,这个能适配吗,是否适配需要核对商品支持列表与您的具体品牌、型号和版本。请提供完整型号；未列明的设备不能直接承诺兼容。,low,platform,SCRIPT-006,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-007,商品,product,是正品吗,商品来源与正品保障以店铺资质、商品页承诺和可提供的凭证为准。如需核验防伪方式或授权材料，我可以转人工处理。,low,platform,SCRIPT-007,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-008,商品,product,保质期多久,生产日期和保质期以商品页说明及实际包装标识为准。仓库批次会流动，无法在未核实库存批次时承诺某个具体日期。,low,platform,SCRIPT-008,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-009,商品,product,怎么清洗,使用、清洗和保养请优先遵循商品说明书、洗涤标或包装标识。若说明缺失，请提供商品名称和具体问题后再核对。,low,platform,SCRIPT-009,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-010,商品,product,保修多久,质保范围和期限以商品页、保修卡及店铺售后政策为准。人为损坏、耗材或非正常使用是否覆盖，需要人工依据凭证判定。,low,platform,SCRIPT-010,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-011,库存,inventory,现在有货吗,页面可下单通常表示当前系统有可售库存，但大促或并发下单时库存可能变化。最终以订单提交和仓库复核结果为准。,low,platform,SCRIPT-011,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-012,库存,inventory,什么时候补货,补货时间需以采购和入库结果为准，未确认前不能承诺具体日期。您可以关注商品页面，或留下需要的规格由人工登记。,low,platform,SCRIPT-012,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-013,价格,price_promo,实际多少钱,实际支付金额由商品价、店铺优惠、平台优惠和账号可用券共同计算，请以结算页实时展示为准。客服不能绕过平台修改成交价。,low,platform,SCRIPT-013,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-014,活动,price_promo,最近有什么活动,活动范围、门槛和时间以当前活动页及结算页规则为准。过期活动、截图或历史价格不能作为当前优惠承诺。,low,platform,SCRIPT-014,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-015,活动,price_promo,优惠券怎么领,优惠券能否领取和使用取决于发放对象、有效期、商品范围及金额门槛，请在结算页核对；不同优惠不一定可以叠加。,low,platform,SCRIPT-015,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-016,活动,price_promo,刚买就降价怎么办,是否支持保价及计算周期以平台和店铺当前规则为准。差价申请属于资金相关操作，需要人工核对订单、活动类型和时间。,low,platform,SCRIPT-016,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-017,活动,price_promo,直播间为什么更便宜,直播间价格可能受时段、限量券和指定链接影响，请以直播间对应商品的结算页为准；其他链接不能直接套用同一价格。,low,platform,SCRIPT-017,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-018,预售,shipping,预售什么时候发,预售商品的定金、尾款和预计发货时间以商品页预售规则为准。预计时间不是必然送达时间，订单异常时会转人工处理。,low,platform,SCRIPT-018,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-019,支付,payment,为什么支付失败,支付方式和结果由平台支付页面决定。若显示扣款但订单未成功，请勿重复支付，先保存支付记录并联系平台或人工客服核对。,low,platform,SCRIPT-019,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-020,发票,invoice,可以开发票吗,发票类型、可开内容和申请入口以店铺及平台规则为准。实际开票或修改抬头需要核对订单与税务信息，我会转人工确认。,low,platform,SCRIPT-020,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-021,订单,order,我的订单怎么样了,订单状态属于个人交易信息，需要在已授权会话中查询。请通过平台订单页查看；如果状态异常，我会转人工并请您只提供必要的订单编号。,low,platform,SCRIPT-021,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-022,订单,order,怎么取消订单,取消订单会改变交易状态，不能由智能客服直接执行。请先在平台订单页尝试取消；若无法操作，我会转人工核对发货状态。,low,platform,SCRIPT-022,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-023,订单,order,收货地址写错了,收货信息涉及隐私和履约风险，智能客服不会直接修改。若订单尚未发货，请立即转人工核对；已发货时需按承运方规则处理。,low,platform,SCRIPT-023,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-024,发货,shipping,什么时候发货,发货时效以商品页承诺、订单状态和仓库实际处理为准。预售、定制、大促及不可抗力可能影响时间，未核实订单前不能承诺具体发出时刻。,low,platform,SCRIPT-024,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-025,发货,shipping,能加急发货吗,可以记录您的加急诉求，但不能保证仓库改变出库顺序。催发货属于订单操作，需要人工结合订单状态处理。,low,platform,SCRIPT-025,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-026,发货,shipping,发什么快递,承运商通常由仓库根据地址和线路安排，是否可指定以商品页及仓库能力为准。特殊需求请在下单前让人工确认。,low,platform,SCRIPT-026,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-027,发货,shipping,偏远地区能发吗,偏远地区是否配送、运费及附加条件以结算页和承运商覆盖范围为准。页面无法下单时，客服不能私下承诺发货。,low,platform,SCRIPT-027,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-028,物流,logistics,快递到哪里了,具体物流轨迹需要在已授权订单上下文中查询，请先查看平台物流页。若长时间无更新或轨迹异常，我会转人工核验。,low,platform,SCRIPT-028,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-029,物流,logistics,快递怎么还没到,物流时效受线路和承运商影响，预计送达并非保证时间。若超过平台或商品页承诺，请提供订单编号，由人工核验并按规则处理。,low,platform,SCRIPT-029,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-030,物流,logistics,包裹丢了怎么办,如包裹疑似丢失或外包装破损，请保留物流记录、外包装和开箱证据，不要私下处理赔付。我会转人工联系承运商并按平台流程核验。,low,platform,SCRIPT-030,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-031,物流,logistics,显示签收但没收到,显示签收但未收到时，请先核对门卫、驿站、家人代收和配送电话；仍未找到请尽快转人工，由人工联系承运商核查。,low,platform,SCRIPT-031,,builtin:ecommerce-sop-v1,2026-08-12
FAQ-SCRIPT-032,售后,return_exchange,支持七天无理由吗,是否支持七天无理由退货，以商品性质、完好标准、签收时间和平台规则为准。定制、鲜活、已拆封影响二次销售等情形可能不适用。,low,platform,SCRIPT-032,,builtin:ecommerce-sop-v1,2026-08-12
