source,target,rel_type,updated_at,confidence,generated_by
QC-AF5-WHITE,air_fryer,BELONGS_TO,2026-08-12,1.0,rule
QC-AF5-GREEN,air_fryer,BELONGS_TO,2026-08-12,1.0,rule
QC-VC-A1,cordless_vacuum,BELONGS_TO,2026-08-12,1.0,rule
QC-HM-3L,humidifier,BELONGS_TO,2026-08-12,1.0,rule
QC-KT-17,electric_kettle,BELONGS_TO,2026-08-12,1.0,rule
QC-FN-D1,air_circulation_fan,BELONGS_TO,2026-08-12,1.0,rule
X-M1-WHITE,digital_audio,BELONGS_TO,2026-08-12,1.0,rule
X-M1-BLACK,digital_audio,BELONGS_TO,2026-08-12,1.0,rule
X-P2-BLACK,digital_power,BELONGS_TO,2026-08-12,1.0,rule
Y-D01-S,apparel,BELONGS_TO,2026-08-12,1.0,rule
Y-D01-M,apparel,BELONGS_TO,2026-08-12,1.0,rule
Y-D01-L,apparel,BELONGS_TO,2026-08-12,1.0,rule
REAL-AFR-01,air_fryer,BELONGS_TO,2026-08-12,1.0,rule
REAL-AFR-02,air_fryer,BELONGS_TO,2026-08-12,1.0,rule
REAL-VAC-01,cordless_vacuum,BELONGS_TO,2026-08-12,1.0,rule
REAL-VAC-02,cordless_vacuum,BELONGS_TO,2026-08-12,1.0,rule
REAL-HUM-01,humidifier,BELONGS_TO,2026-08-12,1.0,rule
REAL-HUM-02,humidifier,BELONGS_TO,2026-08-12,1.0,rule
REAL-KET-01,electric_kettle,BELONGS_TO,2026-08-12,1.0,rule
REAL-KET-02,electric_kettle,BELONGS_TO,2026-08-12,1.0,rule
REAL-FAN-01,air_circulation_fan,BELONGS_TO,2026-08-12,1.0,rule
REAL-FAN-02,air_circulation_fan,BELONGS_TO,2026-08-12,1.0,rule
REAL-AUD-01,digital_audio,BELONGS_TO,2026-08-12,1.0,rule
REAL-AUD-02,digital_audio,BELONGS_TO,2026-08-12,1.0,rule
REAL-PWR-01,digital_power,BELONGS_TO,2026-08-12,1.0,rule
REAL-PWR-02,digital_power,BELONGS_TO,2026-08-12,1.0,rule
REAL-APP-01,apparel,BELONGS_TO,2026-08-12,1.0,rule
REAL-APP-02,apparel,BELONGS_TO,2026-08-12,1.0,rule
