doc_id,entity_key,entity_type,relation_key,relation_type,expected_value
fixture,QC-SPU-AF5,Product(SPU),,,SPU QC-SPU-AF5（晴川空气炸锅 5L 云白款，价格 499.00）
fixture,QC-SPU-VC1,Product(SPU),,,SPU QC-SPU-VC1（晴川无线吸尘器 A1，价格 899.00）
fixture,QC-SPU-HM3,Product(SPU),,,SPU QC-SPU-HM3（晴川静音加湿器 3L，价格 239.00）
fixture,QC-SPU-KT17,Product(SPU),,,SPU QC-SPU-KT17（晴川恒温电热水壶 1.7L，价格 159.00）
fixture,QC-SPU-FN1,Product(SPU),,,SPU QC-SPU-FN1（晴川循环净化风扇 D1，价格 699.00）
manual,X-SPU-M1,Product(SPU),,,SPU X-SPU-M1（星脉蓝牙耳机 X-M1 云白色，价格 299.00）
manual,X-SPU-P2,Product(SPU),,,SPU X-SPU-P2（星脉充电宝 X-P2 10000mAh 黑色，价格 129.00）
manual,Y-SPU-D01,Product(SPU),,,SPU Y-SPU-D01（云织羽绒服 Y-D01 黑色 S 码，价格 599.00）
network,SPU-AFR-01,Product(SPU),,,SPU SPU-AFR-01（格兰仕 Galanz KZ40-108，价格 329.00）
network,SPU-AFR-02,Product(SPU),,,SPU SPU-AFR-02（美的 Midea KZ25E101，价格 249.00）
network,SPU-VAC-01,Product(SPU),,,SPU SPU-VAC-01（戴森 Dyson V15 Detect Fluffy，价格 3490.00）
network,SPU-VAC-02,Product(SPU),,,SPU SPU-VAC-02（德尔玛 Deerma DX700，价格 299.00）
network,SPU-HUM-01,Product(SPU),,,SPU SPU-HUM-01（德尔玛 Deerma F628S，价格 169.00）
network,SPU-HUM-02,Product(SPU),,,SPU SPU-HUM-02（小熊 Bear JSQ-C30Q1，价格 129.00）
network,SPU-KET-01,Product(SPU),,,SPU SPU-KET-01（苏泊尔 SUPOR SW-17J63B，价格 159.00）
network,SPU-KET-02,Product(SPU),,,SPU SPU-KET-02（美的 Midea MK-SH15Colour102，价格 79.00）
network,SPU-FAN-01,Product(SPU),,,SPU SPU-FAN-01（格力 GREE FXDZ-2307Bg5，价格 499.00）
network,SPU-FAN-02,Product(SPU),,,SPU SPU-FAN-02（美的 Midea SAC35CR，价格 199.00）
network,SPU-AUD-01,Product(SPU),,,SPU SPU-AUD-01（捷波朗 Jabra Elite 7 Active，价格 1299.00）
