round,rel_type,source,target,expected,evidence,annotation,verifier,verified_at,confidence,generated_by
1,BELONGS_TO,REAL-APP-02,apparel,TRUE,product.json: REAL-APP-02（服饰）→ category apparel（服饰），rule 生成,人工审核通过,人工审核,2026-08-12,1.0,rule
1,BELONGS_TO,QC-KT-17,electric_kettle,TRUE,product.json: QC-KT-17（电热水壶）→ category electric_kettle（电热水壶），rule 生成,人工审核通过,人工审核,2026-08-12,1.0,rule
1,BELONGS_TO,X-M1-BLACK,digital_audio,TRUE,product.json: X-M1-BLACK（数码音频）→ category digital_audio（数码音频），rule 生成,人工审核通过,人工审核,2026-08-12,1.0,rule
1,BELONGS_TO,REAL-HUM-01,humidifier,TRUE,product.json: REAL-HUM-01（加湿器）→ category humidifier（加湿器），rule 生成,人工审核通过,人工审核,2026-08-12,1.0,rule
1,BELONGS_TO,REAL-FAN-01,air_circulation_fan,TRUE,product.json: REAL-FAN-01（循环风扇）→ category air_circulation_fan（循环风扇），rule 生成,人工审核通过,人工审核,2026-08-12,1.0,rule
1,BELONGS_TO,Y-D01-L,apparel,TRUE,product.json: Y-D01-L（服饰）→ category apparel（服饰），rule 生成,人工审核通过,人工审核,2026-08-12,1.0,rule
1,BELONGS_TO,QC-VC-A1,cordless_vacuum,TRUE,product.json: QC-VC-A1（无线吸尘器）→ category cordless_vacuum（无线吸尘器），rule 生成,人工审核通过,人工审核,2026-08-12,1.0,rule
1,BELONGS_TO,Y-D01-S,apparel,TRUE,product.json: Y-D01-S（服饰）→ category apparel（服饰），rule 生成,人工审核通过,人工审核,2026-08-12,1.0,rule
1,BELONGS_TO,REAL-AUD-01,digital_audio,TRUE,product.json: REAL-AUD-01（数码音频）→ category digital_audio（数码音频），rule 生成,人工审核通过,人工审核,2026-08-12,1.0,rule
1,BELONGS_TO,Y-D01-M,apparel,TRUE,product.json: Y-D01-M（服饰）→ category apparel（服饰），rule 生成,人工审核通过,人工审核,2026-08-12,1.0,rule
1,HAS_ATTR,SPU-AUD-02,SPU-AUD-02|brand,TRUE,network,人工审核通过,人工审核,2026-08-12,1.0,rule
