source,target,rel_type,updated_at,confidence,generated_by
QC-SPU-AF5,QC-SPU-AF5|brand,HAS_ATTR,2026-08-12,1.0,rule
QC-SPU-AF5,QC-SPU-AF5|model,HAS_ATTR,2026-08-12,1.0,rule
QC-SPU-AF5,QC-SPU-AF5|warranty_months,HAS_ATTR,2026-08-12,1.0,rule
QC-AF5-WHITE,QC-AF5-WHITE|capacity_l,HAS_ATTR,2026-08-12,1.0,rule
QC-AF5-WHITE,QC-AF5-WHITE|color,HAS_ATTR,2026-08-12,1.0,rule
QC-AF5-GREEN,QC-AF5-GREEN|capacity_l,HAS_ATTR,2026-08-12,1.0,rule
QC-AF5-GREEN,QC-AF5-GREEN|color,HAS_ATTR,2026-08-12,1.0,rule
QC-SPU-VC1,QC-SPU-VC1|brand,HAS_ATTR,2026-08-12,1.0,rule
QC-SPU-VC1,QC-SPU-VC1|model,HAS_ATTR,2026-08-12,1.0,rule
QC-SPU-VC1,QC-SPU-VC1|warranty_months,HAS_ATTR,2026-08-12,1.0,rule
QC-VC-A1,QC-VC-A1|runtime_min,HAS_ATTR,2026-08-12,1.0,rule
QC-SPU-HM3,QC-SPU-HM3|brand,HAS_ATTR,2026-08-12,1.0,rule
QC-SPU-HM3,QC-SPU-HM3|model,HAS_ATTR,2026-08-12,1.0,rule
QC-SPU-HM3,QC-SPU-HM3|warranty_months,HAS_ATTR,2026-08-12,1.0,rule
QC-HM-3L,QC-HM-3L|capacity_l,HAS_ATTR,2026-08-12,1.0,rule
QC-SPU-KT17,QC-SPU-KT17|brand,HAS_ATTR,2026-08-12,1.0,rule
QC-SPU-KT17,QC-SPU-KT17|model,HAS_ATTR,2026-08-12,1.0,rule
QC-SPU-KT17,QC-SPU-KT17|warranty_months,HAS_ATTR,2026-08-12,1.0,rule
QC-KT-17,QC-KT-17|capacity_l,HAS_ATTR,2026-08-12,1.0,rule
QC-SPU-FN1,QC-SPU-FN1|brand,HAS_ATTR,2026-08-12,1.0,rule
QC-SPU-FN1,QC-SPU-FN1|model,HAS_ATTR,2026-08-12,1.0,rule
QC-SPU-FN1,QC-SPU-FN1|warranty_months,HAS_ATTR,2026-08-12,1.0,rule
QC-FN-D1,QC-FN-D1|filter,HAS_ATTR,2026-08-12,1.0,rule
X-SPU-M1,X-SPU-M1|brand,HAS_ATTR,2026-08-12,1.0,rule
X-SPU-M1,X-SPU-M1|model,HAS_ATTR,2026-08-12,1.0,rule
X-SPU-M1,X-SPU-M1|warranty_months,HAS_ATTR,2026-08-12,1.0,rule
X-M1-WHITE,X-M1-WHITE|color,HAS_ATTR,2026-08-12,1.0,rule
X-M1-WHITE,X-M1-WHITE|battery_mah,HAS_ATTR,2026-08-12,1.0,rule
X-M1-BLACK,X-M1-BLACK|color,HAS_ATTR,2026-08-12,1.0,rule
X-M1-BLACK,X-M1-BLACK|battery_mah,HAS_ATTR,2026-08-12,1.0,rule
X-SPU-P2,X-SPU-P2|brand,HAS_ATTR,2026-08-12,1.0,rule
X-SPU-P2,X-SPU-P2|model,HAS_ATTR,2026-08-12,1.0,rule
X-SPU-P2,X-SPU-P2|warranty_months,HAS_ATTR,2026-08-12,1.0,rule
X-P2-BLACK,X-P2-BLACK|color,HAS_ATTR,2026-08-12,1.0,rule
X-P2-BLACK,X-P2-BLACK|storage_gb,HAS_ATTR,2026-08-12,1.0,rule
X-P2-BLACK,X-P2-BLACK|battery_mah,HAS_ATTR,2026-08-12,1.0,rule
Y-SPU-D01,Y-SPU-D01|brand,HAS_ATTR,2026-08-12,1.0,rule
Y-SPU-D01,Y-SPU-D01|model,HAS_ATTR,2026-08-12,1.0,rule
Y-SPU-D01,Y-SPU-D01|warranty_months,HAS_ATTR,2026-08-12,1.0,rule
Y-D01-S,Y-D01-S|color,HAS_ATTR,2026-08-12,1.0,rule
Y-D01-S,Y-D01-S|size,HAS_ATTR,2026-08-12,1.0,rule
Y-D01-S,Y-D01-S|material,HAS_ATTR,2026-08-12,1.0,rule
Y-D01-S,Y-D01-S|season,HAS_ATTR,2026-08-12,1.0,rule
Y-D01-M,Y-D01-M|color,HAS_ATTR,2026-08-12,1.0,rule
Y-D01-M,Y-D01-M|size,HAS_ATTR,2026-08-12,1.0,rule
Y-D01-M,Y-D01-M|material,HAS_ATTR,2026-08-12,1.0,rule
Y-D01-M,Y-D01-M|season,HAS_ATTR,2026-08-12,1.0,rule
